EmpID,Sum_Quantity,Mean_Quantity,Min_Quantity,Max_Quantity,Employee Name,Job title,Region,Start Date,End date,First_name,Last_name,StartDate,EndDate,EmploymentDurationDays,SalesPerDay
900016297,1284,9.372262773722628,1,104,Joseph Drydale,Sales Associate II,S Central East,5/23/2003,,Joseph,Drydale,2003-05-23,2020-01-01,6067,0.2116367232569639
900016392,613,10.75438596491228,1,82,Sheila Aiskovitch,Sales Representative,Northwest,4/23/2018,,Sheilah,Aiskovitch,2018-04-23,2020-01-01,618,0.9919093851132686
900016416,2050,11.988304093567251,1,103,Doreen Hatton,Sales Associate IV,Northeast,10/13/2013,,Doreen,Hatton,2013-10-13,2020-01-01,2271,0.9026860413914575
900016602,1238,9.378787878787879,1,106,Tiffani Puckey,Sales Representative,Southeast,6/7/2007,10/19/2017,Tiffani,Puckey,2007-06-07,2017-10-19,3787,0.32690784261948774
900017044,769,11.144927536231885,1,99,Morgan Smith,Senior Sales Representative,Southwest,2/6/2005,,Rodrique,Tucsell,2005-02-06,2020-01-01,5442,0.14130834252113195
900017930,459,8.052631578947368,1,60,Lelia Duffy,Sales Associate I,S Central West,3/26/2015,3/27/2017,Lelia,Duffyn,2015-03-26,2017-03-27,732,0.6270491803278688
900018190,2223,11.059701492537313,1,109,Anthony Smallpeace,Senior Sales Representative,Central East,7/5/2003,,Antony,Smallpeace,2003-07-05,2020-01-01,6024,0.3690239043824701
900018460,1652,12.90625,1,102,Walter Cove,Senior Sales Associate,S Central East,1/22/2017,,Wolfie,Cove,2017-01-22,2020-01-01,1074,1.5381750465549349
900018661,1941,10.664835164835164,1,106,Frank McOwan,Sales Associate IV,N Central East,2/5/2008,7/5/2019,Frank,McOwan,2008-02-05,2019-07-05,4168,0.46569097888675626
900018689,1298,8.320512820512821,1,84,Hillary Stockey,Sales Associate II,S Central East,3/26/2016,,Hillary,Stockey,2016-03-26,2020-01-01,1376,0.9433139534883721
900018996,1205,12.05,1,98,David Longman,Senior Sales Associate,S Central East,11/19/2018,,Dick,Pietraszek,2018-11-19,2020-01-01,408,2.9534313725490198
900019250,392,10.051282051282051,1,74,Ruth Spencer,Sales Representative,Central East,12/4/2002,,Ruth,Spencelayh,2002-12-04,2020-01-01,6237,0.06285072951739619
900019311,704,7.257731958762887,1,88,Haley Aimable,Sales Associate I,Southeast,11/24/2018,,Hattie,Aimable,2018-11-24,2020-01-01,403,1.7468982630272953
900019833,872,8.149532710280374,1,109,Corey Westbrook,Sales Associate I,Southwest,12/27/2018,,Cobb,Westbrook,2018-12-27,2020-01-01,370,2.3567567567567567
900019884,628,9.968253968253968,1,92,Amanda Hebden,Sales Associate I,Southwest,12/27/2014,,Adelheid,Hebden,2014-12-27,2020-01-01,1831,0.3429819770617149
900019978,665,10.075757575757576,1,88,Isabelle Cornfield,Sales Representative,S Central West,9/24/2012,,Uri,Corfield,2012-09-24,2020-01-01,2655,0.2504708097928437
